run,luminosityBlock,event,HLT_IsoMu24_eta2p1,HLT_IsoMu24,HLT_IsoMu17_eta2p1_LooseIsoPFTau20,PV_npvs,PV_x,PV_y,PV_z,nMuon,nElectron,nTau,nPhoton,MET_pt,MET_phi,MET_sumet,MET_significance,MET_CovXX,MET_CovXY,MET_CovYY,nJet,Muon_pt,Muon_eta,Muon_phi,Muon_mass,Muon_charge,Muon_pfRelIso03_all,Muon_pfRelIso04_all,Muon_tightId,Muon_softId,Muon_dxy,Muon_dxyErr,Muon_dz,Muon_dzErr,Muon_jetIdx,Muon_genPartIdx,Electron_pt,Electron_eta,Electron_phi,Electron_mass,Electron_charge,Electron_pfRelIso03_all,Electron_dxy,Electron_dxyErr,Electron_dz,Electron_dzErr,Electron_cutBasedId,Electron_pfId,Electron_jetIdx,Electron_genPartIdx,Tau_pt,Tau_eta,Tau_phi,Tau_mass,Tau_charge,Tau_decayMode,Tau_relIso_all,Tau_jetIdx,Tau_genPartIdx,Tau_idDecayMode,Tau_idIsoRaw,Tau_idIsoVLoose,Tau_idIsoLoose,Tau_idIsoMedium,Tau_idIsoTight,Tau_idAntiEleLoose,Tau_idAntiEleMedium,Tau_idAntiEleTight,Tau_idAntiMuLoose,Tau_idAntiMuMedium,Tau_idAntiMuTight,Photon_pt,Photon_eta,Photon_phi,Photon_mass,Photon_charge,Photon_pfRelIso03_all,Photon_jetIdx,Photon_genPartIdx,Jet_pt,Jet_eta,Jet_phi,Jet_mass,Jet_puId,Jet_btag
194711,299,263142897,false,false,false,9,0.07269524,0.063237615,-3.1561816,1,0,1,1,22.177032,0.5337166,556.77576,2.3655102,160.5729,61.200546,191.62889,2,{12.77709674835205},{-0.6230234503746033},{0.6473218202590942},{0.10565836727619171},{-1},{1.4582817554473877},{1.5519471168518066},{True},{True},{0.01398933120071888},{0.0017925985157489777},{0.031827494502067566},{0.0024212186690419912},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{36.91968536376953},{-1.5682779550552368},{-2.2341716289520264},{1.1496301889419556},{1},{1},{1.0643558502197266},{-1},{-1},{True},{33.014671325683594},{False},{False},{False},{False},{True},{False},{False},{True},{True},{True},{48.11479949951172},{-1.5827258825302124},{-2.2322263717651367},{2.336015541004599e-06},{0},{0.052749983966350555},{-1},{-1},"{71.74247741699219,27.820533752441406}","{-1.6034725904464722,-0.7512971758842468}","{-2.251697063446045,0.5696190595626831}","{12.716950416564941,7.453250885009766}","{True,True}","{0.015353158116340637,0.44043412804603577}"
194711,299,263176076,false,false,false,17,0.07321324,0.06424873,5.4895535,1,0,4,0,13.938024,-0.98870003,907.6024,0.77583766,288.73407,19.21664,259.2573,3,{24.76300621032715},{-0.715561032295227},{-2.714630603790283},{0.10565836727619171},{1},{0.8528709411621094},{0.9979711771011353},{True},{True},{0.0001719249557936564},{0.0012695608893409371},{0.000691357534378767},{0.0031958865001797676},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{24.76300621032715,15.011393547058105,15.90854549407959,24.558061599731445}","{-0.715561032295227,3.058424711227417,3.907883405685425,3.169394016265869}","{-2.714630603790283,-0.11213283240795135,2.693924903869629,-0.9123867154121399}","{0.10570000112056732,4.573619365692139,5.113937854766846,9.029295921325684}","{1,0,0,0}","{0,-1,-1,-1}","{0.9951368570327759,nan,nan,nan}","{-1,-1,-1,-1}","{-1,-1,-1,-1}","{True,False,False,False}","{15.812506675720215,0.0,0.0,0.0}","{False,False,False,False}","{False,False,False,False}","{False,False,False,False}","{False,False,False,False}","{True,False,False,False}","{True,False,False,False}","{False,False,False,False}","{False,True,True,True}","{False,True,True,True}","{False,True,True,True}",{},{},{},{},{},{},{},{},"{23.159303665161133,21.095521926879883,17.39397621154785}","{-2.3147449493408203,3.4676904678344727,-0.5865479111671448}","{0.21612246334552765,-0.798495352268219,-2.8226633071899414}","{4.675605297088623,5.584647178649902,3.486708641052246}","{True,True,True}","{0.15709856152534485,-10.0,0.4438457190990448}"
194711,299,263180946,false,false,false,9,0.07238842,0.06291569,1.6817647,6,0,2,3,14.980909,0.5683214,587.11115,1.1031376,222.94354,7.2451224,151.13824,3,"{37.74860382080078,6.9919257164001465,3.349816083908081,7.9132561683654785,5.379203796386719,9.373967170715332}","{2.2245476245880127,2.0824384689331055,1.9971517324447632,2.2497944831848145,2.2117953300476074,2.2790653705596924}","{-0.14134757220745087,-0.0908319428563118,-0.4209408462047577,-0.16574038565158844,-0.16623744368553162,-0.10301508754491806}","{0.10565836727619171,0.10565836727619171,0.10565836727619171,0.10565836727619171,0.10565836727619171,0.10565836727619171}","{1,-1,-1,1,-1,-1}","{1.4465916156768799,-999.0,-999.0,-999.0,-999.0,-999.0}","{1.5353317260742188,-999.0,-999.0,-999.0,-999.0,-999.0}","{True,False,False,False,False,False}","{True,False,False,False,False,False}","{-0.007848539389669895,-0.0009028812637552619,-999.0,-999.0,-999.0,-999.0}","{0.002871372504159808,0.0031601381488144398,-999.0,-999.0,-999.0,-999.0}","{0.025777023285627365,-0.004267092328518629,-999.0,-999.0,-999.0,-999.0}","{0.008912593126296997,0.012404602952301502,-999.0,-999.0,-999.0,-999.0}","{-1,-1,-1,-1,-1,-1}","{-1,-1,-1,-1,-1,-1}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{52.81819534301758,51.34395980834961}","{1.8193904161453247,2.2350921630859375}","{-2.6228253841400146,-0.13381733000278473}","{0.6686466336250305,1.4423542022705078}","{-1,1}","{1,10}","{0.38385963439941406,0.8638944029808044}","{-1,-1}","{-1,-1}","{True,True}","{17.5694637298584,40.19627380371094}","{False,False}","{False,False}","{False,False}","{False,False}","{True,True}","{True,True}","{True,True}","{True,False}","{True,False}","{True,False}","{11.046709060668945,39.52016067504883,12.308497428894043}","{0.7002540826797485,1.8204764127731323,2.080273389816284}","{2.0472617149353027,-2.63051700592041,-0.06021125987172127}","{-1.1920928955078125e-07,0.0,9.5367431640625e-07}","{0,0,0}","{1.0348442792892456,0.10049552470445633,0.24816615879535675}","{-1,-1,-1}","{-1,-1,-1}","{72.6034164428711,51.30512619018555,33.70857238769531}","{1.7749359607696533,2.2137999534606934,0.7034487724304199}","{-2.5995068550109863,-0.12714743614196777,2.1298298835754395}","{12.022007942199707,9.546337127685547,7.891697406768799}","{True,True,True}","{0.061100322753190994,0.18928399682044983,0.1940431147813797}"
194711,299,263197228,true,true,false,12,0.072016336,0.059907988,-4.824308,1,0,3,1,22.452469,-0.32911262,594.303,3.1395557,173.22829,20.855453,183.0934,1,{30.48163414001465},{0.48235979676246643},{-2.483166217803955},{0.10565836727619171},{-1},{0.01047429908066988},{0.06598461419343948},{True},{True},{0.0014727048110216856},{0.0013187021249905229},{-0.0019916677847504616},{0.002714532194659114},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{17.971935272216797,30.48163414001465,15.231803894042969}","{2.4216325283050537,0.48235979676246643,-0.6710137724876404}","{0.321028470993042,-2.483166217803955,-2.7642788887023926}","{0.7525272965431213,0.10570000112056732,1.2175110578536987}","{-1,-1,1}","{1,0,10}","{0.029404686763882637,0.13522176444530487,0.2832748293876648}","{-1,-1,-1}","{-1,-1,-1}","{True,True,True}","{0.5284591317176819,1.6920452117919922,2.940112829208374}","{True,True,True}","{True,True,False}","{True,False,False}","{True,False,False}","{True,True,True}","{True,False,True}","{True,False,True}","{True,False,True}","{True,False,True}","{True,False,True}",{16.1358585357666},{2.415862560272217},{0.3229508697986603},{0.0},{0},{0.04740326106548309},{-1},{-1},{18.851543426513672},{2.494899272918701},{0.3225555717945099},{3.6179771423339844},{True},{0.3916793465614319}
194711,299,263232293,true,true,false,12,0.072271034,0.06321918,-0.6719727,1,0,1,0,57.71216,-0.8884909,456.46658,21.192465,131.93741,-17.093534,146.20715,0,{33.53227615356445},{-2.005640745162964},{2.4917566776275635},{0.10565836727619171},{1},{0.0},{0.08875676244497299},{True},{True},{-0.0009473084937781096},{0.0024255455937236547},{-0.0015119352610781789},{0.00496329041197896},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{33.53227615356445},{-2.005640745162964},{2.4917566776275635},{0.10570000112056732},{1},{0},{0.08875676244497299},{-1},{-1},{True},{1.6641480922698975},{True},{False},{False},{False},{True},{True},{False},{False},{False},{False},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
194711,299,263243220,true,true,false,7,0.06748869,0.05732196,0.70090944,1,0,1,0,6.3780265,2.443329,385.10962,0.3941631,110.61932,8.516747,112.97422,0,{25.339672088623047},{0.9451994299888611},{-0.036064498126506805},{0.10565836727619171},{1},{0.18057896196842194},{0.28075796365737915},{True},{True},{-1.3030792615609244e-05},{0.0016044442309066653},{0.006135640200227499},{0.0038886363618075848},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{25.339672088623047},{0.9451994299888611},{-0.036064498126506805},{0.10570000112056732},{1},{0},{0.19274073839187622},{-1},{-1},{True},{4.459754467010498},{False},{False},{False},{False},{True},{True},{False},{False},{False},{False},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
194711,299,263235057,false,true,false,12,0.07524282,0.06516329,-0.5279645,1,0,2,0,17.37028,-0.0484959,609.70154,1.6857978,178.63245,-12.026708,158.22157,2,{29.27032470703125},{2.2699050903320312},{-0.23194481432437897},{0.10565836727619171},{1},{0.13274316489696503},{0.3302808701992035},{True},{True},{-0.0037902339827269316},{0.0014348175609484315},{-0.06849975138902664},{0.007920545525848866},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{29.27032470703125,19.626558303833008}","{2.2699050903320312,0.42551863193511963}","{-0.23194481432437897,-0.0048891715705394745}","{0.10570000112056732,6.886516571044922}","{1,0}","{0,-1}","{0.03192256763577461,nan}","{-1,-1}","{-1,-1}","{True,False}","{0.9343839287757874,0.0}","{True,False}","{True,False}","{True,False}","{False,False}","{True,False}","{True,False}","{False,False}","{False,True}","{False,True}","{False,True}",{},{},{},{},{},{},{},{},"{20.137300491333008,17.835533142089844}","{-0.8110265135765076,2.218942880630493}","{-2.3986732959747314,2.645547866821289}","{2.682338237762451,3.7522473335266113}","{True,True}","{-1.0,0.3081788420677185}"
194711,299,263283478,false,false,false,4,0.073713645,0.064739764,-6.0428104,1,1,1,1,35.01962,0.84446645,405.19653,8.372652,122.02292,28.828964,115.42944,1,{12.904435157775879},{-0.49986451864242554},{0.4233681559562683},{0.10565836727619171},{1},{0.1186889261007309},{0.6775258183479309},{True},{True},{0.06499264389276505},{0.0017493638442829251},{-0.02849433198571205},{0.0023567730095237494},{-1},{-1},{16.462182998657227},{-0.6593482494354248},{-2.455467939376831},{0.0046577053144574165},{1},{-999.0},{-0.01412475761026144},{0.003495048964396119},{0.07288256287574768},{0.0029025538824498653},{True},{False},{-1},{-1},{18.765546798706055},{-0.6521658897399902},{-2.471682071685791},{0.4547109007835388},{1},{1},{1.087613582611084},{-1},{-1},{True},{19.084867477416992},{False},{False},{False},{False},{True},{True},{True},{True},{True},{True},{16.141250610351562},{-0.655687153339386},{-2.545530319213867},{-1.6858739115832577e-07},{0},{0.8161047101020813},{-1},{-1},{38.28268051147461},{-0.626078188419342},{-2.509110689163208},{7.92458438873291},{True},{0.9998334050178528}
194711,299,263303709,true,true,false,9,0.06835882,0.059789885,0.77928317,1,0,1,0,28.695631,1.7065225,283.40918,9.333787,80.032814,0.23248295,88.46082,0,{23.99485206604004},{1.8185786008834839},{-1.555181622505188},{0.10565836727619171},{1},{0.0},{0.0},{True},{True},{-4.631252522813156e-05},{0.002076623262837529},{0.0022854632697999477},{0.009862085804343224},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{23.99485206604004},{1.8185786008834839},{-1.555181622505188},{0.10570000112056732},{1},{0},{0.0},{-1},{-1},{True},{0.0},{True},{True},{True},{True},{True},{True},{False},{False},{False},{False},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
194711,299,263296746,true,true,false,9,0.07105767,0.06174684,2.5317042,1,0,2,0,22.116417,0.45942116,573.36646,2.5003679,172.04213,29.525892,194.73804,1,{43.914634704589844},{1.5078610181808472},{1.1310702562332153},{0.10565836727619171},{-1},{0.03050198219716549},{0.05449619144201279},{True},{True},{0.00022287700267042965},{0.0009949904633685946},{-0.001533658243715763},{0.0038627225439995527},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{43.914634704589844,15.69909381866455}","{1.5078610181808472,-2.5975959300994873}","{1.1310702562332153,-1.9964898824691772}","{0.10570000112056732,0.7025700807571411}","{-1,-1}","{0,1}","{0.03050198219716549,0.2802872955799103}","{-1,-1}","{-1,-1}","{True,True}","{0.0,2.984194755554199}","{True,True}","{True,False}","{True,False}","{True,False}","{True,True}","{False,True}","{False,True}","{False,True}","{False,True}","{False,True}",{},{},{},{},{},{},{},{},{31.946998596191406},{-2.641007900238037},{-1.9937210083007812},{6.048647403717041},{True},{-1.0}
