query	num_events	running_time
q1	1000	1.4304
q1	1000	1.3593
q2	1000	1.272
q2	1000	1.288
q3	1000	1.3242
q3	1000	1.274
q4	1000	1.3135
q4	1000	1.2729
q5	1000	1.4038
q5	1000	1.4338
q6-1	1000	1.6975
q6-1	1000	1.6189
q6-2	1000	1.5854
q6-2	1000	1.6037
q7	1000	1.5896
q7	1000	1.4606
q8-1	1000	1.8925
q8-1	1000	1.6642
q8-2	1000	1.7538
q8-2	1000	1.6008
q1	2000	1.1799
q1	2000	1.1551
q2	2000	1.15
q2	2000	1.1463
q3	2000	1.1814
q3	2000	1.2219
q4	2000	1.2097
q4	2000	1.2003
q5	2000	1.3158
q5	2000	1.5073
q6-1	2000	1.6668
q6-1	2000	1.9226
q6-2	2000	1.7823
q6-2	2000	1.5428
q7	2000	1.3755
q7	2000	1.5135
q8-1	2000	1.623
q8-1	2000	1.6724
q8-2	2000	1.5329
q8-2	2000	1.7095
q1	4000	1.1009
q1	4000	1.1829
q2	4000	1.1373
q2	4000	1.1435
q3	4000	1.2233
q3	4000	1.2835
q4	4000	1.131
q4	4000	1.2075
q5	4000	1.3153
q5	4000	1.4408
q6-1	4000	1.7426
q6-1	4000	1.7956
q6-2	4000	1.7538
q6-2	4000	1.6171
q7	4000	1.507
q7	4000	1.3556
q8-1	4000	1.6903
q8-1	4000	1.614
q8-2	4000	1.628
q8-2	4000	1.562
q1	8000	1.1311
q1	8000	1.188
q2	8000	1.1503
q2	8000	1.1416
q3	8000	1.123
q3	8000	1.1711
q4	8000	1.1726
q4	8000	1.2184
q5	8000	1.3241
q5	8000	1.3619
q6-1	8000	2.0477
q6-1	8000	1.9055
q6-2	8000	1.6784
q6-2	8000	1.7468
q7	8000	1.42
q7	8000	1.3722
q8-1	8000	1.6306
q8-1	8000	1.6859
q8-2	8000	1.6162
q8-2	8000	1.6539
q1	16000	1.1539
q1	16000	1.1526
q2	16000	1.1283
q2	16000	1.1864
q3	16000	1.1364
q3	16000	1.1182
q4	16000	1.1575
q4	16000	1.1922
q5	16000	1.3531
q5	16000	1.294
q6-1	16000	2.148
q6-1	16000	2.1396
q6-2	16000	1.986
q6-2	16000	1.8446
q7	16000	1.4148
q7	16000	1.3888
q8-1	16000	1.8567
q8-1	16000	1.711
q8-2	16000	1.7284
q8-2	16000	1.6668
q1	32000	1.1143
q1	32000	1.1326
q2	32000	1.1666
q2	32000	1.1166
q3	32000	1.1678
q3	32000	1.2127
q4	32000	1.2354
q4	32000	1.218
q5	32000	1.5125
q5	32000	1.4365
q6-1	32000	5.2817
q6-1	32000	5.1827
q6-2	32000	4.4858
q6-2	32000	4.3267
q7	32000	1.4492
q7	32000	1.5116
q8-1	32000	2.1058
q8-1	32000	2.0908
q8-2	32000	1.8042
q8-2	32000	1.7743
q1	64000	1.2479
q1	64000	1.1944
q2	64000	1.2149
q2	64000	1.2578
q3	64000	1.195
q3	64000	1.2372
q4	64000	1.2686
q4	64000	1.2991
q5	64000	1.5077
q5	64000	1.5008
q6-1	64000	9.342
q6-1	64000	9.2081
q6-2	64000	8.2166
q6-2	64000	8.5666
q7	64000	1.6469
q7	64000	1.6957
q8-1	64000	2.2778
q8-1	64000	2.3987
q8-2	64000	2.3187
q8-2	64000	2.2113
q1	128000	1.2416
q1	128000	1.2154
q2	128000	1.4489
q2	128000	1.3101
q3	128000	1.3261
q3	128000	1.3363
q4	128000	1.4533
q4	128000	1.5234
q5	128000	1.6998
q5	128000	1.8156
q6-1	128000	52.3793
q6-1	128000	55.2123
q6-2	128000	42.2231
q6-2	128000	41.9447
q7	128000	1.9643
q7	128000	1.8677
q8-1	128000	3.1896
q8-1	128000	3.2995
q8-2	128000	2.8649
q8-2	128000	2.904
q1	256000	1.2664
q1	256000	1.2921
q2	256000	1.6382
q2	256000	1.6636
