query,num_events,running_time
native-objects/query-1,1000,5.5644
native-objects/query-1,1000,4.8141
native-objects/query-2,1000,4.1295
native-objects/query-2,1000,4.1644
native-objects/query-3,1000,5.231
native-objects/query-3,1000,5.5462
native-objects/query-4,1000,5.7806
native-objects/query-4,1000,5.1847
native-objects/query-5,1000,5.4619
native-objects/query-5,1000,5.6431
native-objects/query-6-1,1000,8.2842
native-objects/query-6-1,1000,7.6976
native-objects/query-6-2,1000,6.8551
native-objects/query-6-2,1000,6.7804
native-objects/query-7,1000,5.7395
native-objects/query-7,1000,5.0331
native-objects/query-8-1,1000,10.391
native-objects/query-8-1,1000,7.1897
native-objects/query-8-2,1000,6.2223
native-objects/query-8-2,1000,6.1381
native-objects/query-1,2000,2.846
native-objects/query-1,2000,2.9673
native-objects/query-2,2000,2.7137
native-objects/query-2,2000,3.4803
native-objects/query-3,2000,4.0246
native-objects/query-3,2000,4.5271
native-objects/query-4,2000,4.8492
native-objects/query-4,2000,4.4172
native-objects/query-5,2000,4.8286
native-objects/query-5,2000,4.5881
native-objects/query-6-1,2000,7.6193
native-objects/query-6-1,2000,7.0318
native-objects/query-6-2,2000,7.4075
native-objects/query-6-2,2000,6.7514
native-objects/query-7,2000,4.9088
native-objects/query-7,2000,4.5844
native-objects/query-8-1,2000,6.0311
native-objects/query-8-1,2000,6.2249
native-objects/query-8-2,2000,5.4786
native-objects/query-8-2,2000,6.2525
native-objects/query-1,4000,2.4848
native-objects/query-1,4000,2.4548
native-objects/query-2,4000,2.6808
native-objects/query-2,4000,2.916
native-objects/query-3,4000,3.9927
native-objects/query-3,4000,3.8768
native-objects/query-4,4000,4.7947
native-objects/query-4,4000,4.1767
native-objects/query-5,4000,4.6171
native-objects/query-5,4000,4.9391
native-objects/query-6-1,4000,6.9
native-objects/query-6-1,4000,7.5781
native-objects/query-6-2,4000,7.0123
native-objects/query-6-2,4000,6.988
native-objects/query-7,4000,4.6092
native-objects/query-7,4000,4.7981
native-objects/query-8-1,4000,6.5399
native-objects/query-8-1,4000,6.1316
native-objects/query-8-2,4000,5.9186
native-objects/query-8-2,4000,5.656
native-objects/query-1,8000,2.51
native-objects/query-1,8000,2.4295
native-objects/query-2,8000,2.5597
native-objects/query-2,8000,2.4316
native-objects/query-3,8000,3.8635
native-objects/query-3,8000,4.0932
native-objects/query-4,8000,4.2787
native-objects/query-4,8000,4.2222
native-objects/query-5,8000,4.8042
native-objects/query-5,8000,4.7455
native-objects/query-6-1,8000,10.3005
native-objects/query-6-1,8000,10.2297
native-objects/query-6-2,8000,10.1522
native-objects/query-6-2,8000,10.2044
native-objects/query-7,8000,5.0418
native-objects/query-7,8000,5.2846
native-objects/query-8-1,8000,6.7249
native-objects/query-8-1,8000,6.1596
native-objects/query-8-2,8000,5.9055
native-objects/query-8-2,8000,5.6862
native-objects/query-1,16000,2.2237
native-objects/query-1,16000,2.3885
native-objects/query-2,16000,2.6447
native-objects/query-2,16000,2.6717
native-objects/query-3,16000,4.0426
native-objects/query-3,16000,3.7874
native-objects/query-4,16000,4.4729
native-objects/query-4,16000,4.5012
native-objects/query-5,16000,4.9815
native-objects/query-5,16000,4.8348
native-objects/query-6-1,16000,13.3664
native-objects/query-6-1,16000,13.0265
native-objects/query-6-2,16000,13.1759
native-objects/query-6-2,16000,12.956
native-objects/query-7,16000,5.3115
native-objects/query-7,16000,5.4185
native-objects/query-8-1,16000,6.9678
native-objects/query-8-1,16000,6.9536
native-objects/query-8-2,16000,6.344
native-objects/query-8-2,16000,6.2463
native-objects/query-1,32000,2.4038
native-objects/query-1,32000,2.311
native-objects/query-2,32000,2.8425
native-objects/query-2,32000,2.8477
native-objects/query-3,32000,3.9412
native-objects/query-3,32000,3.9105
native-objects/query-4,32000,4.7758
native-objects/query-4,32000,4.7619
native-objects/query-5,32000,5.4303
native-objects/query-5,32000,5.4269
native-objects/query-6-1,32000,50.6064
native-objects/query-6-1,32000,51.5409
native-objects/query-6-2,32000,50.8756
native-objects/query-6-2,32000,50.6712
native-objects/query-7,32000,6.3007
native-objects/query-7,32000,6.1997
native-objects/query-8-1,32000,8.359
native-objects/query-8-1,32000,9.0031
native-objects/query-8-2,32000,7.614
native-objects/query-8-2,32000,8.6447
native-objects/query-1,64000,2.6531
native-objects/query-1,64000,2.6454
native-objects/query-2,64000,3.8664
native-objects/query-2,64000,3.7318
native-objects/query-3,64000,4.3423
native-objects/query-3,64000,5.1801
native-objects/query-4,64000,6.0401
native-objects/query-4,64000,6.9596
native-objects/query-5,64000,6.782
native-objects/query-5,64000,7.4692
native-objects/query-6-1,64000,112.0482
native-objects/query-6-1,64000,114.0691
native-objects/query-6-2,64000,111.4118
native-objects/query-6-2,64000,111.6878
native-objects/query-7,64000,8.2327
native-objects/query-7,64000,8.6158
native-objects/query-8-1,64000,10.7043
native-objects/query-8-1,64000,10.8374
native-objects/query-8-2,64000,10.1709
native-objects/query-8-2,64000,10.2765
native-objects/query-1,128000,3.1233
native-objects/query-1,128000,3.2767
native-objects/query-2,128000,7.0602
native-objects/query-2,128000,6.5446
native-objects/query-3,128000,7.1665
native-objects/query-3,128000,5.9296
native-objects/query-4,128000,8.9334
native-objects/query-4,128000,10.1843
native-objects/query-5,128000,10.4028
native-objects/query-5,128000,11.0206
native-objects/query-6-1,128000,680.5431
native-objects/query-6-1,128000,680.4233
native-objects/query-6-2,128000,681.2249
native-objects/query-6-2,128000,681.8751
native-objects/query-7,128000,14.2287
native-objects/query-7,128000,14.067
native-objects/query-8-1,128000,18.7816
native-objects/query-8-1,128000,18.5159
native-objects/query-8-2,128000,17.8149
native-objects/query-8-2,128000,18.8497
native-objects/query-1,256000,4.1766
native-objects/query-1,256000,4.2559
native-objects/query-2,256000,11.1892
native-objects/query-2,256000,13.2231
native-objects/query-3,256000,8.3341
native-objects/query-3,256000,8.01
native-objects/query-4,256000,14.607
native-objects/query-4,256000,15.7447
native-objects/query-5,256000,17.0763
native-objects/query-5,256000,16.8202
native-objects/query-6-1,256000,1690.5795
native-objects/query-6-1,256000,1706.0905
native-objects/query-6-2,256000,1663.3576
native-objects/query-6-2,256000,1667.6783
native-objects/query-7,256000,24.4512
native-objects/query-7,256000,24.6597
native-objects/query-8-1,256000,32.7689
native-objects/query-8-1,256000,32.6635
native-objects/query-8-2,256000,32.441
native-objects/query-8-2,256000,31.339
native-objects/query-1,512000,9.5997
native-objects/query-1,512000,8.29
native-objects/query-2,512000,20.8907
native-objects/query-2,512000,19.1861
native-objects/query-3,512000,13.2001
native-objects/query-3,512000,12.4872
native-objects/query-4,512000,25.2568
native-objects/query-4,512000,24.2194
native-objects/query-5,512000,28.8976
native-objects/query-5,512000,28.7635
native-objects/query-7,512000,44.2598
native-objects/query-7,512000,44.1762
native-objects/query-8-1,512000,60.0288
native-objects/query-8-1,512000,60.5765
native-objects/query-8-2,512000,57.8175
native-objects/query-8-2,512000,57.3507
native-objects/query-1,1024000,10.415
native-objects/query-1,1024000,10.5096
native-objects/query-2,1024000,32.3088
native-objects/query-2,1024000,31.7525
native-objects/query-3,1024000,20.8551
native-objects/query-3,1024000,20.9508
native-objects/query-4,1024000,46.01
native-objects/query-4,1024000,45.3586
native-objects/query-5,1024000,53.6131
native-objects/query-5,1024000,52.3757
native-objects/query-7,1024000,84.4928
native-objects/query-7,1024000,84.8308
native-objects/query-8-1,1024000,114.0158
native-objects/query-8-1,1024000,114.5304
native-objects/query-8-2,1024000,110.0746
native-objects/query-8-2,1024000,111.1497
native-objects/query-1,2048000,17.9424
native-objects/query-1,2048000,17.9665
native-objects/query-2,2048000,63.1745
native-objects/query-2,2048000,64.0511
native-objects/query-3,2048000,37.8831
native-objects/query-3,2048000,38.2779
native-objects/query-4,2048000,86.526
native-objects/query-4,2048000,86.9893
native-objects/query-5,2048000,103.0192
native-objects/query-5,2048000,102.2531
native-objects/query-7,2048000,167.3333
native-objects/query-7,2048000,167.776
native-objects/query-8-1,2048000,226.8629
native-objects/query-8-1,2048000,227.3909
native-objects/query-8-2,2048000,221.4709
native-objects/query-8-2,2048000,219.947
native-objects/query-1,4096000,33.3974
native-objects/query-1,4096000,33.1668
native-objects/query-2,4096000,120.3911
native-objects/query-2,4096000,120.6369
native-objects/query-3,4096000,70.9492
native-objects/query-3,4096000,70.1165
native-objects/query-4,4096000,165.0085
native-objects/query-4,4096000,165.9162
native-objects/query-5,4096000,196.1492
native-objects/query-5,4096000,196.7196
native-objects/query-7,4096000,324.5047
native-objects/query-7,4096000,323.3186
native-objects/query-8-1,4096000,442.5235
native-objects/query-8-1,4096000,441.5344
native-objects/query-8-2,4096000,431.3523
native-objects/query-8-2,4096000,428.2978
native-objects/query-1,8192000,64.1742
native-objects/query-1,8192000,63.9169
native-objects/query-2,8192000,229.4503
native-objects/query-2,8192000,228.8101
native-objects/query-3,8192000,135.7274
native-objects/query-3,8192000,134.5842
native-objects/query-4,8192000,323.7188
native-objects/query-4,8192000,323.9895
native-objects/query-5,8192000,383.4379
native-objects/query-5,8192000,384.1772
native-objects/query-7,8192000,634.7204
native-objects/query-7,8192000,634.82
native-objects/query-8-1,8192000,871.1596
native-objects/query-8-1,8192000,869.6508
native-objects/query-8-2,8192000,865.8621
native-objects/query-8-2,8192000,863.2038
native-objects/query-1,16384000,130.2971
native-objects/query-1,16384000,130.1478
native-objects/query-2,16384000,470.7657
native-objects/query-2,16384000,470.9421
native-objects/query-3,16384000,275.2169
native-objects/query-3,16384000,274.6126
native-objects/query-4,16384000,658.0743
native-objects/query-4,16384000,658.7564
native-objects/query-5,16384000,779.0999
native-objects/query-5,16384000,778.3966
native-objects/query-7,16384000,1300.1153
native-objects/query-7,16384000,1301.738
native-objects/query-8-1,16384000,1776.6674
native-objects/query-8-1,16384000,1776.9592
native-objects/query-8-2,16384000,1728.8331
native-objects/query-8-2,16384000,1728.4302
native-objects/query-1,32768000,238.5173
native-objects/query-1,32768000,233.5689
native-objects/query-2,32768000,846.8086
native-objects/query-2,32768000,850.9156
native-objects/query-3,32768000,519.7379
native-objects/query-3,32768000,519.5233
native-objects/query-1,65536000,400.0684
native-objects/query-1,65536000,400.0269
native-objects/query-2,65536000,1444.8294
